Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
225.133443927483	225.20322302250025	5.5334861806371635e-52	27.786244373697	1798.84785	46203.1857	A	X	e	1	25	25	Pi	f	7	25	25	Q(25)
225.1367974633004	225.20657727863798	4.5166825122042224e-63	14.088170452231	2235.542826	46639.219312	A	X	e	1	34	34	Pi	e	7	35	35	R(34)
225.15809707361518	225.22788146424594	5.180903437755342e-53	27.7771190761572	1840.93396264	46240.41032848	A	X	e	1	26	26	Pi	f	7	26	26	Q(26)
225.163053842618	225.2328392980586	3.463981750269411e-64	14.0778840886402	2292.094216	46690.59325888	A	X	e	1	35	35	Pi	e	7	36	36	R(35)
225.18371981180115	225.25350970695138	4.506010403795846e-54	27.7676391205384	1884.63110176	46279.05591232	A	X	e	1	27	27	Pi	f	7	27	27	Q(27)
225.19030717908913	225.26009848950417	2.2486130271717597e-65	14.0677026553944	2350.24765984	46743.37394832	A	X	e	1	36	36	Pi	e	7	37	37	R(36)
225.2103145776376	225.28011018680905	3.850877127047044e-55	27.7578040936623	1929.93839904	46319.12123328	A	X	e	1	28	28	Pi	f	7	28	28	Q(28)
225.21856079087624	225.28835817192967	1.986039420659701e-66	14.057603434932	2410.00199976	46797.55971088	A	X	e	1	37	37	Pi	e	7	38	38	R(37)
225.23788389946844	225.30768543278188	3.116567381111882e-56	27.7476135677908	1976.854954	46360.605028	A	X	e	1	29	29	Pi	f	7	29	29	Q(29)
225.24781809131682	225.31762175948865	1.3885868072794144e-67	14.0475659681276	2471.35604584	46853.148832	A	X	e	1	38	38	Pi	e	7	39	39	R(38)
225.26643039866704	225.33623806688502	2.6037915745741197e-57	27.7370671007075	2025.379834	46403.505988	A	X	e	1	30	30	Pi	f	7	30	30	Q(30)
225.2780825892935	225.34789276190344	8.204824529153048e-69	14.0375717746833	2534.308576	46910.139552	A	X	e	1	39	39	Pi	e	7	40	40	R(39)
225.29595678992914	225.3657708044789	2.0831097807874686e-58	27.7261642358023	2075.51207424	46447.82275968	A	X	e	1	31	31	Pi	f	7	31	31	Q(31)
225.30935788961582	225.37917478484732	5.0987219224985756e-70	14.0276041139551	2598.858336	46968.53006608	A	X	e	1	40	40	Pi	e	7	41	41	R(40)
225.3151291272205	225.38494726308338	2.7692332277115306e-51	13.5766960411788	1798.84785	46167.3832	A	X	e	1	25	25	Pi	e	7	24	24	P(25)
225.32646588157573	225.39628645457262	1.668936858774823e-59	27.7149045021589	2127.25067776	46493.55394432	A	X	e	1	32	32	Pi	f	7	32	32	Q(32)
225.3416476934148	225.4114715303389	2.921275659723078e-71	14.0176477795539	2665.00403944	47028.31852432	A	X	e	1	41	41	Pi	e	7	42	42	R(41)
225.34704651740964	225.41687151507745	2.702224310118884e-52	13.5820158937732	1840.93396264	46203.1857	A	X	e	1	26	26	Pi	e	7	25	25	P(26)
